IFG_td    anterior_cingulate_aal    caudate_td    cingulate    insula_td    middleFG_td    middleTG_aal    middleTG_td    nacc_ibaspm71    putamen_aal
   3,0840577e-02  -1,1525654e-02  -5,8379394e-03   2,4115555e-02   2,5641939e-02   2,4632456e-02   2,7672518e-02   2,8802672e-02  -1,3367063e-02   2,4111767e-02
   3,1737438e-02   8,7689593e-03   2,8083289e-02   1,0514376e-02   4,5270388e-02  -1,1001815e-03   4,1558871e-02   3,7056925e-02   3,2771556e-02   2,6932186e-02
   3,2365747e-03   4,0167929e-02   2,8894704e-02   7,3802349e-03   2,5889478e-02  -7,8509784e-03   2,1485921e-02   2,0909835e-02   3,2677566e-02   3,2786875e-02
   1,7936313e-02   4,1469965e-03   5,8044156e-02   1,5314447e-02   3,5902701e-03   3,0582064e-02   2,5970084e-02   2,3012127e-02  -2,6165483e-02  -7,9147589e-03
   6,4121986e-02   7,8100922e-02   8,2946743e-02   4,2248042e-02   7,3344153e-02   4,1320564e-02   3,5437823e-02   3,0170413e-02  -1,5273331e-02   7,2123279e-02
   1,5404354e-03   3,7957237e-02   3,8118196e-02  -1,5347834e-03  -1,0177538e-02  -2,6682219e-03   7,7078293e-03   7,4332445e-03   1,1218433e-02   1,8895854e-02
   5,1315194e-02   5,5306664e-02   5,0069071e-02   4,0036167e-02   2,8157759e-02   2,7409692e-02   4,0737042e-02   4,2573657e-02   6,7379998e-02   6,4653299e-02
   3,9613836e-03   6,5098382e-03   2,7185498e-02  -1,3651529e-02   2,7663810e-03  -5,9588571e-03   1,0625266e-02   9,0838064e-03   8,6979120e-02   2,3106804e-02
  -2,3598243e-03  -6,4395785e-03  -1,6110368e-02   1,2329250e-02   7,1166175e-03  -7,6249560e-04  -1,6464740e-03  -2,0642067e-03   5,4135253e-03  -1,1773619e-02
   1,7801172e-02  -3,9367328e-02   7,5617624e-03  -1,5434296e-02  -8,4905042e-03  -1,7849993e-02   1,7388568e-03   1,1238380e-03  -2,3206340e-04   1,5124758e-02
